nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel
Integra GS 1.8,1,1,1992 Gasolina,1992-1,1992,Gasolina,1
Integra GS 1.8,1,1,1991 Gasolina,1991-1,1991,Gasolina,1
Legend 3.2/3.5,2,1,1998 Gasolina,1998-1,1998,Gasolina,1
Legend 3.2/3.5,2,1,1997 Gasolina,1997-1,1997,Gasolina,1
Legend 3.2/3.5,2,1,1996 Gasolina,1996-1,1996,Gasolina,1
Legend 3.2/3.5,2,1,1995 Gasolina,1995-1,1995,Gasolina,1
Legend 3.2/3.5,2,1,1994 Gasolina,1994-1,1994,Gasolina,1
Legend 3.2/3.5,2,1,1993 Gasolina,1993-1,1993,Gasolina,1
Legend 3.2/3.5,2,1,1992 Gasolina,1992-1,1992,Gasolina,1
Legend 3.2/3.5,2,1,1991 Gasolina,1991-1,1991,Gasolina,1
NSX 3.0,3,1,1995 Gasolina,1995-1,1995,Gasolina,1
NSX 3.0,3,1,1994 Gasolina,1994-1,1994,Gasolina,1
NSX 3.0,3,1,1993 Gasolina,1993-1,1993,Gasolina,1
NSX 3.0,3,1,1992 Gasolina,1992-1,1992,Gasolina,1
NSX 3.0,3,1,1991 Gasolina,1991-1,1991,Gasolina,1
MARRUÁ 2.8 12V 132cv TDI Diesel,4,2,2007 Diesel,2007-3,2007,Diesel,3
MARRUÁ 2.8 12V 132cv TDI Diesel,4,2,2006 Diesel,2006-3,2006,Diesel,3
MARRUÁ 2.8 12V 132cv TDI Diesel,4,2,2005 Diesel,2005-3,2005,Diesel,3
MARRUÁ 2.8 12V 132cv TDI Diesel,4,2,2004 Diesel,2004-3,2004,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2011 Diesel,2011-3,2011,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2010 Diesel,2010-3,2010,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2009 Diesel,2009-3,2009,Diesel,3
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,2008 Diesel,2008-3,2008,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2011 Diesel,2011-3,2011,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2010 Diesel,2010-3,2010,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2009 Diesel,2009-3,2009,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2008 Diesel,2008-3,2008,Diesel,3
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,2007 Diesel,2007-3,2007,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2011 Diesel,2011-3,2011,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2010 Diesel,2010-3,2010,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2009 Diesel,2009-3,2009,Diesel,3
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,2008 Diesel,2008-3,2008,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2011 Diesel,2011-3,2011,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2010 Diesel,2010-3,2010,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2009 Diesel,2009-3,2009,Diesel,3
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,2008 Diesel,2008-3,2008,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2022 Diesel,2022-3,2022,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2021 Diesel,2021-3,2021,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2020 Diesel,2020-3,2020,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2019 Diesel,2019-3,2019,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2018 Diesel,2018-3,2018,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2017 Diesel,2017-3,2017,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2016 Diesel,2016-3,2016,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2011 Diesel,2011-3,2011,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2010 Diesel,2010-3,2010,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2009 Diesel,2009-3,2009,Diesel,3
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,2008 Diesel,2008-3,2008,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2022 Diesel,2022-3,2022,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2021 Diesel,2021-3,2021,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2020 Diesel,2020-3,2020,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2019 Diesel,2019-3,2019,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2018 Diesel,2018-3,2018,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2017 Diesel,2017-3,2017,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2016 Diesel,2016-3,2016,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2015 Diesel,2015-3,2015,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2014 Diesel,2014-3,2014,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2013 Diesel,2013-3,2013,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2012 Diesel,2012-3,2012,Diesel,3
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,2011 Diesel,2011-3,2011,Diesel,3
