nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Elantra GLS 1.8 16V,1302,26,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 6.978,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 1.8 16V', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '015006-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5qjcrm3cngp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 1.8 16V Aut.,5638,26,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 59.908,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 1.8 16V Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '015081-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1zq5rzlc8nnc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 1.8 16V Aut.,5638,26,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 57.550,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 1.8 16V Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '015081-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '0223vyyphbj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 1.8 16V Mec.,5639,26,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 56.211,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 1.8 16V Mec.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '015080-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '0ldflvr90mj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Aut.,1303,26,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 19.331,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Aut.', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '015050-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kmzn0y4yq7rl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Aut.,1303,26,2003 Gasolina,2003-1,2003,Gasolina,1,"{'Valor': 'R$ 18.859,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Aut.', 'AnoModelo': 2003, 'Combustivel': 'Gasolina', 'CodigoFipe': '015050-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kgf3q1k2g3nc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Aut.,1303,26,2002 Gasolina,2002-1,2002,Gasolina,1,"{'Valor': 'R$ 18.399,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Aut.', 'AnoModelo': 2002, 'Combustivel': 'Gasolina', 'CodigoFipe': '015050-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j81xnnhccxj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Aut.,1303,26,2001 Gasolina,2001-1,2001,Gasolina,1,"{'Valor': 'R$ 17.950,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Aut.', 'AnoModelo': 2001, 'Combustivel': 'Gasolina', 'CodigoFipe': '015050-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j3sqjhry5hfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Flex Aut.,6433,26,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 68.788,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Flex Aut.', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '015104-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5bvspmg7b2y1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
Elantra GLS 2.0 16V Flex Aut.,6433,26,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 66.040,00', 'Marca': 'Hyundai', 'Modelo': 'Elantra GLS 2.0 16V Flex Aut.', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '015104-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '39mzftf3wvvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:14'}"
