nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
Integra GS 1.8,1,1,"[{'Label': '1992 Gasolina', 'Value': '1992-1'}, {'Label': '1991 Gasolina', 'Value': '1991-1'}]"
Legend 3.2/3.5,2,1,"[{'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}, {'Label': '1994 Gasolina', 'Value': '1994-1'}, {'Label': '1993 Gasolina', 'Value': '1993-1'}, {'Label': '1992 Gasolina', 'Value': '1992-1'}, {'Label': '1991 Gasolina', 'Value': '1991-1'}]"
NSX 3.0,3,1,"[{'Label': '1995 Gasolina', 'Value': '1995-1'}, {'Label': '1994 Gasolina', 'Value': '1994-1'}, {'Label': '1993 Gasolina', 'Value': '1993-1'}, {'Label': '1992 Gasolina', 'Value': '1992-1'}, {'Label': '1991 Gasolina', 'Value': '1991-1'}]"
MARRUÁ 2.8 12V 132cv TDI Diesel,4,2,"[{'Label': '2007 Diesel', 'Value': '2007-3'}, {'Label': '2006 Diesel', 'Value': '2006-3'}, {'Label': '2005 Diesel', 'Value': '2005-3'}, {'Label': '2004 Diesel', 'Value': '2004-3'}]"
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,2,"[{'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}]"
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,2,"[{'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}, {'Label': '2007 Diesel', 'Value': '2007-3'}]"
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,2,"[{'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}]"
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,2,"[{'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}]"
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,2,"[{'Label': '2022 Diesel', 'Value': '2022-3'}, {'Label': '2021 Diesel', 'Value': '2021-3'}, {'Label': '2020 Diesel', 'Value': '2020-3'}, {'Label': '2019 Diesel', 'Value': '2019-3'}, {'Label': '2018 Diesel', 'Value': '2018-3'}, {'Label': '2017 Diesel', 'Value': '2017-3'}, {'Label': '2016 Diesel', 'Value': '2016-3'}, {'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}]"
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,2,"[{'Label': '2022 Diesel', 'Value': '2022-3'}, {'Label': '2021 Diesel', 'Value': '2021-3'}, {'Label': '2020 Diesel', 'Value': '2020-3'}, {'Label': '2019 Diesel', 'Value': '2019-3'}, {'Label': '2018 Diesel', 'Value': '2018-3'}, {'Label': '2017 Diesel', 'Value': '2017-3'}, {'Label': '2016 Diesel', 'Value': '2016-3'}, {'Label': '2015 Diesel', 'Value': '2015-3'}, {'Label': '2014 Diesel', 'Value': '2014-3'}, {'Label': '2013 Diesel', 'Value': '2013-3'}, {'Label': '2012 Diesel', 'Value': '2012-3'}, {'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}, {'Label': '2007 Diesel', 'Value': '2007-3'}]"
